Top 50 functions by total time (line_profiler):
Rank    Total(ms)    Calls  Location
   1     11440.49      308  D:\projets\GlassAlgo_v4\image_processor_hough.py:4864 :: process_image_from_memory_parallel.<locals>._safe_roi_hough
   2     11423.31    28529  D:\projets\GlassAlgo_v4\image_processor_hough.py:3859 :: process_roi_hough_based
   3      9307.33    57094  D:\projets\GlassAlgo_v4\image_processor_hough.py:1657 :: find_and_analyze_defects
   4      7705.61     3234  D:\projets\GlassAlgo_v4\image_processor_hough.py:732 :: preprocess_for_hough_enhanced
   5      6019.62    10505  D:\projets\GlassAlgo_v4\image_processor_hough.py:4841 :: process_image_from_memory_parallel
   6      1435.41   219670  D:\projets\GlassAlgo_v4\image_processor_hough.py:1023 :: merge_lines_and_get_main_edges
   7      1071.29    23078  D:\projets\GlassAlgo_v4\image_processor_hough.py:743 :: denoise_edge_map
   8       616.30     9568  D:\projets\GlassAlgo_v4\image_processor_hough.py:335 :: scan_edge_for_luminosity_defects
   9       527.35    11230  D:\projets\GlassAlgo_v4\image_processor_hough.py:796 :: _snap_line_to_canny
  10       114.29     5904  D:\projets\GlassAlgo_v4\image_processor_hough.py:862 :: _fit_line_from_edges
  11        55.28     5299  D:\projets\GlassAlgo_v4\image_processor_hough.py:912 :: _detect_edge_notches
  12        22.72    10780  D:\projets\GlassAlgo_v4\image_processor_hough.py:188 :: _get_dist_px
  13        12.43     1004  D:\projets\GlassAlgo_v4\image_processor_hough.py:1038 :: merge_lines_and_get_main_edges.<locals>._px_dist_mm
  14         6.37     1168  D:\projets\GlassAlgo_v4\image_processor_hough.py:930 :: _detect_edge_notches.<locals>._runs_of_false
  15         5.73     3072  D:\projets\GlassAlgo_v4\image_processor_hough.py:1385 :: merge_lines_and_get_main_edges.<locals>._angle_deg
  16         3.06      504  D:\projets\GlassAlgo_v4\image_processor_hough.py:1555 :: merge_lines_and_get_main_edges.<locals>._t_param_and_perp_dist
  17         2.99      464  D:\projets\GlassAlgo_v4\image_processor_hough.py:842 :: _snap_line_to_canny.<locals>._project
  18         2.96     1956  D:\projets\GlassAlgo_v4\image_processor_hough.py:1917 :: find_and_analyze_defects.<locals>._angle_to_x_axis_deg_local
  19         2.84      816  D:\projets\GlassAlgo_v4\image_processor_hough.py:201 :: _get_area_px2
  20         2.75     3200  D:\projets\GlassAlgo_v4\image_processor_hough.py:3941 :: process_roi_hough_based.<locals>._clip_infinite_line_to_roi_local
  21         2.74     2580  D:\projets\GlassAlgo_v4\image_processor_hough.py:1098 :: merge_lines_and_get_main_edges.<locals>._is_near_vertical
  22         2.73      224  D:\projets\GlassAlgo_v4\image_processor_hough.py:3207 :: find_and_analyze_defects.<locals>.sort_key_func
  23         2.71     3432  D:\projets\GlassAlgo_v4\image_processor_hough.py:179 :: _mm_to_px
